close,date,high,low,marketcap,open,volume
8.12,"Apr 24, 2018",8.31,7.51,"1,081,421,795",7.56,"24,989,800"
7.58,"Apr 23, 2018",7.61,7.03,"1,009,803,505",7.03,"13,856,000"
7.07,"Apr 22, 2018",7.45,7.07,"942,101,382",7.23,"11,025,400"
7.24,"Apr 21, 2018",7.75,6.84,"964,291,219",7.35,"18,202,700"
7.35,"Apr 20, 2018",7.35,6.76,"979,009,825",7.19,"21,648,200"
7.18,"Apr 19, 2018",7.20,6.30,"956,123,099",6.30,"30,815,100"
6.31,"Apr 18, 2018",6.67,5.91,"840,237,062",5.91,"27,192,200"
5.92,"Apr 17, 2018",6.23,5.85,"788,386,155",5.96,"14,318,900"
5.97,"Apr 16, 2018",6.50,5.75,"795,068,557",6.40,"12,176,500"
6.41,"Apr 15, 2018",6.41,5.88,"854,539,934",5.88,"13,102,300"
5.88,"Apr 14, 2018",6.32,5.72,"783,352,035",5.75,"15,469,100"
5.77,"Apr 13, 2018",7.13,5.62,"768,282,986",5.80,"46,281,800"
5.80,"Apr 12, 2018",5.85,4.90,"773,310,444",5.24,"15,564,500"
5.27,"Apr 11, 2018",5.44,4.80,"701,677,496",4.85,"15,907,600"
4.85,"Apr 10, 2018",4.90,4.70,"645,723,875",4.84,"6,671,320"
4.84,"Apr 09, 2018",5.20,4.72,"644,775,147",5.08,"11,176,400"
5.07,"Apr 08, 2018",5.29,5.03,"675,195,731",5.10,"7,375,620"
5.09,"Apr 07, 2018",5.34,5.02,"677,803,400",5.02,"7,519,260"
5.00,"Apr 06, 2018",5.18,4.89,"666,795,759",5.12,"7,555,570"
5.15,"Apr 05, 2018",5.25,4.97,"685,795,633",5.13,"6,559,640"
5.14,"Apr 04, 2018",6.17,5.11,"685,538,463",5.99,"10,886,800"
6.00,"Apr 03, 2018",6.12,5.30,"798,915,435",5.37,"11,377,700"
5.36,"Apr 02, 2018",5.46,5.16,"714,038,940",5.19,"7,461,480"
5.19,"Apr 01, 2018",5.76,4.89,"691,933,049",5.64,"8,988,260"
5.62,"Mar 31, 2018",5.88,5.17,"748,993,964",5.19,"15,159,800"
5.18,"Mar 30, 2018",5.58,4.96,"690,840,413",5.46,"12,605,200"
5.47,"Mar 29, 2018",6.65,5.38,"728,873,472",6.57,"15,316,000"
6.58,"Mar 28, 2018",6.87,6.45,"877,264,097",6.50,"22,986,000"
6.51,"Mar 27, 2018",7.01,6.31,"867,548,964",6.96,"26,060,600"
6.98,"Mar 26, 2018",7.64,6.41,"929,733,276",7.56,"27,665,300"
7.57,"Mar 25, 2018",7.87,7.49,"1,008,087,267",7.58,"22,741,200"
7.70,"Mar 24, 2018",8.40,7.68,"1,025,429,532",8.14,"34,242,500"
8.11,"Mar 23, 2018",8.26,7.38,"1,080,242,548",8.22,"43,246,100"
